Name of Hawker Centre / Market,Latitude,Longitude
Adam Food Centre,1.324159853,103.8141659
Amoy Street Food Centre,1.27923121,103.8466193
Bedok Food Centre,1.320347168,103.9554806
Beo Crescent Market,1.288830892,103.8273539
Berseh Food Centre,1.307344109,103.8568888
Bukit Timah Market,1.339452429,103.7760073
Chomp Chomp Food Centre,1.364232525,103.866527
Commonwealth Crescent Market,1.306900132,103.8003673
Dunman Food Centre,1.309417888,103.9018254
East Coast Lagoon Food Village,1.307261066,103.9347997
Geylang Serai Market,1.31672515,103.8979774
Golden Mile Food Centre,1.303141753,103.8638776
Holland Village Market & Food Centre,1.311072974,103.7948764
Kallang Estate Market,1.307343984,103.8840177
Margaret Drive Hawker Centre,1.297425851,103.8047105
Market Street Hawker Centre,1.284059452,103.8498824
Marsiling Mall Hawker Centre,1.433543181,103.7798819
Maxwell Food Centre,1.280331427,103.8447472
Newton Food Centre,1.312114273,103.8398132
North Bridge Road Market & Food Centre,1.305634337,103.8639093
Pasir Panjang Food Centre,1.275917974,103.7914109
Sembawang Hills Food Centre,1.372319493,103.8290181
Serangoon Garden Market,1.363085011,103.8667249
Taman Jurong Market & Food Centre,1.334721066,103.7215838
Tanglin Halt Market,1.300544075,103.797738
Tiong Bahru Market,1.284685992,103.8324216
Zion Riverside Food Centre,1.292342211,103.831189
ABC Brickworks Market & Food Centre,1.286882973,103.8081313
Albert Centre Market & Food Centre,1.301001496,103.8542117
Alexandra Village Food Centre,1.286305943,103.8044926
117 Aljunied Ave 2,1.320646368,103.8870241
226D Ang Mo Kio Ave 1,1.366810005,103.8391426
341 Ang Mo Kio Ave 1,1.36410721,103.8482422
160 Ang Mo Kio Ave 4,1.374527738,103.8391761
162 Ang Mo Kio Ave 4,1.37410757,103.8388639
628 Ang Mo Kio Ave 4,1.380987617,103.8406281
724 Ang Mo Kio Ave 6,1.372172585,103.8465103
409 Ang Mo Kio Ave 10,1.362654107,103.8552883
453A Ang Mo Kio Ave 10,1.368240537,103.8563515
527 Ang Mo Kio Ave 10,1.372772093,103.854458
226H Ang Mo Kio Street 22,1.367178741,103.8401577
216 Bedok North Street 1,1.327062742,103.933218
511 Bedok North Street 3,1.333219933,103.9305815
538 Bedok North Street 3,1.332067277,103.9246213
85 Bedok North Street 4,1.332004824,103.9387684
630 Bedok Reservoir Road,1.332772792,103.9141908
16 Bedok South Road ,1.320552219,103.9355392
29 Bendemeer Road,1.319216679,103.8630209
221A/B Boon Lay Place,1.345224066,103.7128007
163 Bukit Merah Central,1.28370221,103.8169496
115 Bukit Merah View,1.285504456,103.8218233
2 & 3 Changi Village Road,1.290106112,103.8546401
Chinatown Market,1.282235211,103.8431776
Chong Pang Market & Food Centre ,1.431447752,103.8285377
79/79A Circuit Road,1.326597067,103.8850523
80 Circuit Road,1.327834146,103.8871027
89 Circuit Road,1.323579714,103.8854388
353 Clementi Ave 2,1.31437918,103.7709196
448 Clementi Ave 3,1.313319693,103.7645172
726 Clementi West Street 2,1.303810732,103.7642507
7 Empress Road,1.31624053,103.8056367
4A Eunos Crescent,1.32033126,103.9042565
69 Geylang Bahru,1.32146311,103.870005
20 Ghim Moh Road,1.310996632,103.7882303
13/14 Haig Road,1.31514205,103.8956095
22A Havelock Road,1.287970517,103.8296234
22B Havelock Road,1.287755462,103.8293629
44 Holland Drive,1.3081178,103.7927738
Hong Lim Market & Food Centre,1.285323793,103.8457767
105 Hougang Ave 1,1.354082739,103.8901304
4A Jalan Batu,1.302360348,103.8839095
112 Jalan Bukit Merah,1.280004801,103.8260133
1 Jalan Kukoh,1.288252092,103.8399403
347 Jurong East Ave 1,1.345416983,103.7317038
254 Jurong East Street 24,1.343488185,103.7377384
505 Jurong West Street 52,1.349657291,103.7184437
Kovan Market & Food Centre,1.359083841,103.8860554
84 Marine Parade Central,1.30228521,103.9062887
50A Marine Terrace,1.305729736,103.915737
20 Marsiling Lane,1.443444168,103.7769895
21 Marsiling Lane,1.443444168,103.7769895
159 Mei Chin Road,1.293236244,103.8029039
58 New Upper Changi Road,1.324200873,103.9411253
208B New Upper Changi Road ,1.32478237,103.9305703
51 Old Airport Road ,1.308251847,103.8858087
Pek Kio Market & Food Centre,1.31613128,103.8502329
People's Park Food Centre,1.284855884,103.8425999
79 Redhill Lane,1.287843173,103.8183521
85 Redhill Lane,1.287307515,103.8183112
320 Shunfu Road,1.352007454,103.8370319
49 Sims Place,1.317035024,103.8793099
137 Tampines Street 11,1.345373474,103.9446294
6 Tanjong Pagar Plaza,1.276614648,103.843167
37A Teban Gardens Road,1.320831093,103.7427481
Tekka Market,1.306710983,103.8501344
11 Telok Blangah Crescent,1.277368132,103.8186515
79 Telok Blangah Drive,1.273355994,103.8076181
82 Telok Blangah Drive,1.273890768,103.8079003
36 Telok Blangah Rise,1.272761286,103.8223635
127 Toa Payoh Lorong 1,1.338046253,103.8447339
74 Toa Payoh Lorong 4 ,1.334550749,103.8520035
93 Toa Payoh Lorong 4,1.338474696,103.8495134
75 Toa Payoh Lorong 5 ,1.336020768,103.852957
22 Toa Payoh Lorong 7,1.335382613,103.8570037
210 Toa Payoh Lorong 8 ,1.340216009,103.8548726
17 Upper Boon Keng Road,1.315028415,103.8716204
502 West Coast Drive,1.311906957,103.759128
503 West Coast Drive,1.311803089,103.7597514
90 Whampoa Drive ,1.323064938,103.8549962
91 Whampoa Drive,1.323428187,103.8540602
92 Whampoa Drive ,1.323176046,103.8538634
Ci Yuan Hawker Centre,1.375429016,103.882978
Bukit Panjang Hawker Centre & Market,1.377597423,103.7724915
Hawker Centre @ Our Tampines Hub,1.353547405,103.9403811
Kampung Admiralty Hawker Centre,1.439916083,103.8007012
Yishun Park Hawker Centre,1.424987863,103.8447475
Jurong West Hawker Centre,1.341264104,103.6972419
Pasir Ris Central Hawker Centre,1.373472521,103.9515713
21 Sengkang West Ave,1.391725521,103.8770004
1 Punggol Dr,1.408971168,103.9052193
Senja Hawker Centre,1.387194004,103.761084
Bukit Canberra Hawker Centre,1.448849012,103.822852
