postal_prefix,zone,district
01,City,1
02,City,1
03,City,1
04,City,1
05,City,1
06,City,1
07,City,2
08,City,2
09,South,4
10,South,4
11,West,5
12,West,5
13,West,5
14,South,3
15,South,3
16,South,3
17,City,6
18,City,7
19,City,7
20,Central,8
21,Central,8
22,Central,9
23,Central,9
24,Central,10
25,Central,10
26,Central,10
27,Central,10
28,Central,11
29,Central,11
30,Central,11
31,Central,12
32,Central,12
33,Central,12
34,East,13
35,East,13
36,East,13
37,East,13
38,East,14
39,East,14
40,East,14
41,East,14
42,East,15
43,East,15
44,East,15
45,East,15
46,East,16
47,East,16
48,East,16
49,East,17
50,East,17
51,East,18
52,East,18
53,North,19
54,North,19
55,North,19
56,North,20
57,North,20
58,West,21
59,West,21
60,West,22
61,West,22
62,West,22
63,West,22
64,West,22
65,West,23
66,West,23
67,West,23
68,West,23
69,West,24
70,West,24
71,West,24
72,North,25
73,North,25
75,North,27
76,North,27
77,North,26
78,North,26
79,North,28
80,North,28
81,East,17
82,North,19