Primary Schools,Latitude,Longitude
Admiralty Primary School,1.44263479,103.8000401
Ahmad Ibrahim Primary School,1.433152715,103.8329424
Ai Tong School,1.360583434,103.8330203
Alexandra Primary School,1.291334392,103.8244247
Anchor Green Primary School,1.390369987,103.8871654
Anderson Primary School,1.384264294,103.8413921
Ang Mo Kio Primary School,1.369321766,103.8396309
Anglo-Chinese School (Junior),1.309322527,103.8415521
Anglo-Chinese School (Primary),1.318370545,103.8356097
Angsana Primary School,1.348552876,103.9518081
Beacon Primary School,1.383949362,103.773632
Bedok Green Primary School,1.323445933,103.937879
Bendemeer Primary School,1.321812508,103.8654042
Blangah Rise Primary School,1.276145229,103.8086132
Boon Lay Garden Primary School,1.342840138,103.7128584
Bukit Panjang Primary School,1.373621793,103.7693749
Bukit Timah Primary School,1.337749862,103.7668553
Bukit View Primary School,1.345860548,103.7536664
Canberra Primary School,1.451250244,103.8158589
Canossa Catholic Primary School,1.326644245,103.882228
Cantonment Primary School,1.275472526,103.8399626
Casuarina Primary School,1.372460639,103.9570203
Catholic High School,1.354723075,103.8448747
Cedar Primary School,1.335660844,103.8756201
Changkat Primary School,1.34023164,103.9520801
CHIJ (Katong) Primary,1.306485353,103.9111056
CHIJ (Kellock),1.274740489,103.827954
CHIJ Our Lady of Good Counsel,1.357429523,103.8640094
CHIJ Our Lady Of The Nativity,1.373574097,103.897769
CHIJ Our Lady Queen of Peace,1.366603669,103.7674122
CHIJ Primary (Toa Payoh),1.332752647,103.8418473
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533
Chongfu School,1.438395629,103.8393092
Chongzheng Primary School,1.350611306,103.9513173
Chua Chu Kang Primary School,1.377758901,103.7418329
Clementi Primary School,1.315063218,103.7631445
Compassvale Primary School,1.394445296,103.8978122
Concord Primary School,1.380008062,103.7362254
Corporation Primary School,1.350997799,103.7075937
Damai Primary School,1.335461068,103.9212702
Dazhong Primary School,1.359179745,103.7484721
De La Salle School,1.39470783,103.7432018
East Spring Primary School,1.352684007,103.9616768
Edgefield Primary School,1.40029783,103.9074305
Elias Park Primary School,1.375056963,103.9452894
Endeavour Primary School,1.454038375,103.8174362
Eunos Primary School,1.324476299,103.9045413
Evergreen Primary School,1.444153328,103.7945778
Fairfield Methodist School (Primary),1.301004419,103.7854556
Farrer Park Primary School,1.312368677,103.8507664
Fengshan Primary School,1.329805988,103.9317103
Fern Green Primary School,1.397269661,103.8803303
Fernvale Primary School,1.39030228,103.8744455
First Toa Payoh Primary School,1.340322995,103.8555299
Frontier Primary School,1.336643112,103.6996828
Fuchun Primary School,1.430639758,103.7781752
Fuhua Primary School,1.336597265,103.7360895
Gan Eng Seng Primary School,1.285595165,103.8155474
Geylang Methodist School (Primary),1.317591268,103.8838457
Gongshang Primary School,1.357116068,103.9491448
Greendale Primary School,1.396481951,103.9123346
Greenridge Primary School,1.385889219,103.7677945
Greenwood Primary School,1.439899583,103.8047256
Guangyang Primary School,1.345690115,103.8494532
Haig Girls' School,1.311943443,103.9029026
Henry Park Primary School,1.316676462,103.7842962
Holy Innocents' Primary School,1.366938309,103.8941149
Hong Wen School,1.32176,103.8576285
Horizon Primary School,1.399550034,103.9134049
Hougang Primary School,1.377382452,103.8808053
Huamin Primary School,1.426972845,103.8442402
Innova Primary School,1.428967007,103.7906075
Jiemin Primary School,1.427688477,103.8304255
Jing Shan Primary School,1.37223291,103.8521322
Junyuan Primary School,1.347870509,103.9393276
Jurong Primary School,1.339175198,103.6988037
Jurong West Primary School,1.339175198,103.6988037
Keming Primary School,1.345063498,103.7559232
Kheng Cheng School,1.337338194,103.8471485
Kong Hwa School,1.31099674,103.888352
Kranji Primary School,1.393560505,103.7473627
Kuo Chuan Presbyterian Primary School,1.349398137,103.8550182
Lakeside Primary School,1.338375696,103.7180969
Lianhua Primary School,1.354241911,103.7541658
Maha Bodhi School,1.328580239,103.9013069
Maris Stella High School,1.341394734,103.8778525
Marsiling Primary School,1.43383904,103.773643
Marymount Convent School,1.34036677,103.8400211
Mayflower Primary School,1.376146217,103.8358052
Mee Toh School,1.394618454,103.9085895
Meridian Primary School,1.375528317,103.9348891
Methodist Girls' School (Primary),1.349472763,103.8849713
Montfort Junior School,1.373824441,103.8893078
Nan Chiau Primary School,1.392211499,103.8911809
Nan Hua Primary School,1.3192016,103.7610951
Nanyang Primary School,1.320847499,103.8077502
Naval Base Primary School,1.416306632,103.8387941
New Town Primary School,1.299641882,103.8001022
Ngee Ann Primary School,1.305525059,103.917463
North Spring Primary School,1.387061465,103.9032027
North View Primary School,1.427523272,103.8481908
North Vista Primary School,1.38282243,103.8959619
Northland Primary School,1.420969899,103.8409284
Northoaks Primary School,1.45660782,103.814197
Oasis Primary School,1.404624132,103.9111206
Opera Estate Primary School,1.319319144,103.9237883
Palm View Primary School,1.38376923,103.8913547
Park View Primary School,1.377380699,103.9395417
Pasir Ris Primary School,1.372418702,103.9628072
Paya Lebar Methodist Girls' School (Primary),1.349472763,103.8849713
Pei Chun Public School,1.336778644,103.8553413
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064
Pei Tong Primary School,1.316665293,103.767439
Peiying Primary School,1.417416276,103.8301432
Pioneer Primary School,1.339022647,103.6877696
Poi Ching School,1.357651223,103.9352465
Princess Elizabeth Primary School,1.349190989,103.7407192
Punggol Cove Primary School,1.411599233,103.8988039
Punggol Green Primary School,1.401872206,103.8988013
Punggol Primary School,1.405145826,103.9051564
Punggol View Primary School,1.405145826,103.9051564
Qifa Primary School,1.313265833,103.7566291
Qihua Primary School,1.442035966,103.7883398
Queenstown Primary School,1.29559365,103.8075486
Radin Mas Primary School,1.274958236,103.8241883
Raffles Girls' Primary School,1.32940426,103.8064429
Red Swastika School,1.333242978,103.9343323
River Valley Primary School,1.294183478,103.8360189
Riverside Primary School,1.447004265,103.801889
Rivervale Primary School,1.393409978,103.9045595
Rosyth School,1.372890675,103.8750015
Rulang Primary School,1.346738689,103.718458
Sembawang Primary School,1.445073716,103.8210424
Seng Kang Primary School,1.389497404,103.8997671
Sengkang Green Primary School,1.392846067,103.8752177
Shuqun Primary School,1.347653114,103.7215237
Si Ling Primary School,1.432409357,103.7860351
Singapore Chinese Girls' Primary School,1.320807252,103.8277447
South View Primary School,1.381666644,103.7462758
Springdale Primary School,1.394670103,103.8899262
St. Andrew's Junior School,1.331402553,103.8651171
St. Anthony's Canossian Primary School,1.334725373,103.9412349
St. Anthony's Primary School,1.334725373,103.9412349
St. Gabriel's Primary School,1.349471927,103.862561
St. Hilda's Primary School,1.34938565,103.9370071
St. Joseph's Institution Junior,1.31772861,103.8456119
St. Margaret's Primary School,1.324391503,103.8816248
St. Stephen's School,1.318789973,103.9172581
Stamford Primary School,1.303456385,103.8574535
Tampines North Primary School,1.36048786,103.9487689
Tampines Primary School,1.350486395,103.9435731
Tanjong Katong Primary School,1.30498489,103.9
Tao Nan School,1.294332105,103.8490262
Teck Ghee Primary School,1.365587821,103.8509571
Teck Whye Primary School,1.383649968,103.7532919
Telok Kurau Primary School,1.331045854,103.910934
Temasek Primary School,1.317706776,103.9455907
Townsville Primary School,1.360032637,103.853826
Unity Primary School,1.402854819,103.7468226
Waterway Primary School,1.398828006,103.9186216
Wellington Primary School,1.451920192,103.8223037
West Grove Primary School,1.344879056,103.6992864
West Spring Primary School,1.389441459,103.7661957
West View Primary School,1.383785465,103.7602734
Westwood Primary School,1.347184566,103.7005342
White Sands Primary School,1.365636109,103.9608618
Woodgrove Primary School,1.433103402,103.7906044
Woodlands Primary School,1.436582707,103.7917913
Woodlands Ring Primary School,1.434952293,103.7974357
Xinghua Primary School,1.357908936,103.8904729
Xingnan Primary School,1.342706397,103.6875885
Xinmin Primary School,1.371395489,103.8830808
Xishan Primary School,1.433471869,103.8377553
Yangzheng Primary School,1.348645758,103.8685955
Yew Tee Primary School,1.396766009,103.750986
Yio Chu Kang Primary School,1.377932643,103.8856437
Yishun Primary School,1.43338603,103.8340871
Yu Neng Primary School,1.333889303,103.9321449
Yuhua Primary School,1.342802305,103.7411058
Yumin Primary School,1.351315699,103.9505511
Zhangde Primary School,1.284211533,103.8259519
Zhenghua Primary School,1.379548875,103.7693135
Zhonghua Primary School,1.360260725,103.8697125
Valour Primary School,1.406835702,103.8990781
Northshore Primary School,1.418138033,103.9044169
